"app_uuid","name","app_photo","description","rating","functionalities","main_functionalities","integrations","tags","comments","website","created_at","updated_at","app_provider_uuid","app_category_uuid"
"8c5abe02-67ef-4889-abac-5520e90d483b",Sittax Simples,f9281cd4-bb28-46e1-a6df-aaefaa0360cb,"A Sittax Simples é uma solução SaaS robusta projetada para modernizar o departamento fiscal de empresas do Simples Nacional. Simplifica a gestão tributária ao automatizar a análise de notas fiscais, a segregação de tributos como Monofásico e ST, e a transmissão de dados para o portal oficial. Além disso, a ferramenta agiliza a geração de Guias DAS, relatórios de auditoria e o envio de informações críticas aos empresários, integrando-se perfeitamente ao software contábil do contador para uma eficiência operacional sem precedentes.",0.0,,,,,,https://www.sittax.com.br/,2024-04-16 06:27:22.000,2024-04-16 06:27:23.000,"793e19c5-f8a0-47e2-9baa-99e29b0c5f2d",
"43830cc6-a25a-45b3-a69c-777840c94cc5",Elo Fiscal,"35464db2-559f-470e-a821-dd8efaa537dc","Elo fiscal  é uma solução de gestão e automação de documentos fiscais eletrônicos, projetada para descomplicar e otimizar a conformidade fiscal das empresas. Com recursos avançados, como a automação no cálculo do ICMS-ST e DIFAL, e o módulo de auditoria Análise Tax e Sped, o Elo fiscal se destaca por sua capacidade de transformar processos fiscais complexos em operações simples, seguras e eficientes.",0.0,,,,,,https://elofiscal.com/,2024-04-11 15:18:24.000,2024-04-11 15:18:26.000,b1e3d25f-8502-4a1f-af69-2ead1eea86e7,
f1b65277-8833-439e-81e4-395661a25d45,Tax Sheets,e756cd0b-5866-4da9-a391-0270460b8475,Agilidade e autonomia com arquivos fiscais do SPED. Transforme arquivos fiscais do SPED em planilhas editáveis do Excel e dê um salto na sua produtividade.,0.0,,,,,,https://www.taxceladdins.com.br/,2024-04-12 09:59:55.000,2024-04-12 09:59:57.000,"6c33dd14-52f6-4c1b-8757-84e4cf641d54",
"70e1f42d-7f4a-41d3-af79-1f25892aa862",Sistema MA,"4251f8ec-50d2-4719-9367-a3770c6a4363","O Sistema MA é uma ferramenta para análise de dados dedicada para realização dos trabalhos de auditorias, perícias, consultorias, Due Diligence, levantamento de crédito administrativo e judicial, recuperação judicial de empresas, retificação de arquivos SPED, geração de arquivos como CAT42-SP, e-CredAc, DRCST-SC, ADRC-ST-PR, Fichas das PER/DCOMP, entre outros.",0.0,,,,,,https://www.matecnologias.com.br/,2024-05-06 16:32:01.000,2024-05-06 16:32:03.000,e3070654-e953-4bce-a8cb-40b2b13bef3b,
"67c2c9e2-4ad9-4d22-b1b5-ca1494f95643",Tax Dashs,e756cd0b-5866-4da9-a391-0270460b8475,Data analytics aplicado à gestão tributária. Visualize as suas informações fiscais em relatórios interativos no Power BI e obtenha insights valiosos para sua empresa.,0.0,,,,,,https://www.taxceladdins.com.br/,2024-04-12 09:59:55.000,2024-04-12 09:59:57.000,"6c33dd14-52f6-4c1b-8757-84e4cf641d54",
"690f5bb5-f070-4c43-99ce-d234626ce196",Busca Legal T2,"564c80fb-d9e6-4263-b04d-f035d91bd99e","Já pensou em abrir a tela de seu computador e perguntar qual é a tributação de um produto, tanto em operações internas quanto interestaduais? Pois é, isso já é possível com o Busca.Legal T2, seu Assistente Pessoal Tributário! E se você tiver a NCM ou o Código de Barras desse produto, fica mais fácil ainda!",0.0,,,,,,https://busca.legal/,2024-03-12 11:53:36.000,2024-04-12 11:53:38.000,"410684d6-1c37-4986-a53a-bea0fafc79fa",
"98f46972-31f1-459b-bfee-6d0d7ee22f0b",Busca Legal TS,"564c80fb-d9e6-4263-b04d-f035d91bd99e","O Busca Legal TS (Tax Search) é uma plataforma tecnológica que combina recursos de Inteligência Artificial com a curadoria humana de consultores experts em Tributação. o resultado disso vai além de acompanhar as mudanças diárias na tributação, pois conseguimos não apenas avisar nossos clientes dos novos atos legais e normativos, mas chegamos a resumir e identificar o que impacta cada negócio. Chegamos ao detalhe de entregar tarefas individuais, para cada colaborador dentro dos times do nosso clientes, diretamente em ferramentas de workflow de mercado, para suportar os impactos das mudanças diárias nos negócios, facilitando com isso a manutenção da empresa em Conformidade.",0.0,,,,,,https://busca.legal/,2024-04-12 11:53:36.000,2024-04-12 11:53:38.000,"410684d6-1c37-4986-a53a-bea0fafc79fa",
"97c0be54-0551-488b-9e3b-b26e15628d54",Brinta Cloud,c88c0f01-440e-4e78-9bc0-dfc257b3fa48,"Brinta é uma plataforma em nuvem de compliance fiscal para a América Latina e Brasil. Realiza o cálculo de impostos em tempo real; faz a busca e emissão de documentos fiscais, e; realiza o preparo, cruzamento e transmissão de obrigações acessórias. Integra com qualquer ERP e pode ser implementado em até 7 dias.",0.0,,,,,,https://www.brinta.com/pt,2024-04-16 06:40:16.000,2024-04-16 06:40:18.000,"26159572-1323-4826-b633-fa4dd381abc1",
"01f99a6a-f882-4e42-9c96-2779a88c5129",Revizia,c5ce1bcf-079a-4383-8d85-d2d5918a87b3,Uma das principais funcionalidades do Revizia é sua capacidade de automatizar o processo de conformidade tributária,0.0,"Conformidade Tributária Automatizada, Painel de Oportunidades,  Relatórios Personalizados e Inteligência Fiscal",,SAP,,,https://revizia.com.br,2025-01-23 07:35:40.000,2025-01-23 07:35:40.000,"87b78f7e-4a90-4a1d-a62a-6302c318ce1d",
"07a11dd8-087f-4b4f-b11d-95cefe6a605a",Tax True,fb24b981-2e1f-4466-8500-cee3c9fe40db,"O TAX TRUE é uma solução tecnológica da ROIT voltada à conciliação das apurações assistidas. Ele valida as informações fiscais através da conferência sistemática entre cinco bases de dados: os documentos fiscais eletrônicos (DF-e), a Receita Federal, o Comitê Gestor do IBS, o ERP e o extrato bancário.",0.0,,,"[""Protheus"",""Oracle"",""SAP Business One"",""Outros""]",,,https://www.roit.com.br/conheca-tax-true,2024-04-12 09:59:55.000,2024-04-12 09:59:57.000,"0666f458-21f5-4ab0-ac85-e7bcfd03e637","3bc326f3-6992-4d69-83a4-7ceb03b4e6c4"
